2017-09-13 13:55:57 -  - exec CUpdateClient::GetUpdatesList
2017-09-13 13:55:57 -  - exec CUpdateClient::CollectRequestData
2017-09-13 13:55:57 -  - LICENSE_KEY=X&lang=ru&SUPD_VER=17.0.7&VERSION=17.0.9&TYPENC=D&SUPD_STS=1&SUPD_URS=0&SUPD_DBS=MYSQL&XE=N&CLIENT_SITE=_&CHHB=192.168.2.201&CSAB=192.168.2.201&SUID=3bbb2897c7f19c831037717901eac009&CANGZIP=Y&CLIENT_PHPVER=7.0.22-0ubuntu0.16.04.1&stable=Y&NGINX=Y&rerere=Y&bitm_main=17.0.9&bitm_statistic=17.0.0&bitm_seo=17.0.6&bitm_calendar=17.5.1&bitm_storeassist=16.0.1&bitm_search=17.0.1&bitm_idea=17.5.0&bitm_highloadblock=17.0.2&bitm_mail=17.0.5&bitm_perfmon=17.0.0&bitm_socialservices=17.1.4&bitm_ldap=17.0.0&bitm_conversion=17.0.2&bitm_subscribe=17.0.0&bitm_compression=16.0.0&bitm_scale=17.0.0&bitm_report=16.5.1&bitm_learning=17.5.0&bitm_iblock=17.0.9&bitm_bizprocdesigner=17.0.2&bitm_blog=17.5.2&bitm_support=16.0.0&bitm_lists=17.0.6&bitm_forum=17.5.1&bitm_form=17.0.1&bitm_mobileapp=17.0.1&bitm_bitrixcloud=17.0.0&bitm_catalog=17.0.9&bitm_bizproc=17.5.1&bitm_currency=17.0.3&bitm_fileman=17.5.0&bitm_eshopapp=16.5.0&bitm_socialnetwork=17.5.5&bitm_im=17.1.4&bitm_translate=15.0.0&bitm_sale=17.0.24&bitm_cluster=17.0.0&bitm_pull=17.1.0&bitm_webservice=17.0.0&bitm_clouds=17.0.0&bitm_sender=17.1.2&bitm_abtest=17.0.0&bitm_security=17.0.1&bitm_workflow=17.0.0&bitm_photogallery=17.0.2&bitm_vote=17.5.0&bitm_wiki=16.0.3&bitm_b24connector=17.0.1&bitm_advertising=17.0.0&bitl_ru=&bitl_en=&SUPD_SRS=0&SUPD_CMP=N&SALE_15=Y
2017-09-13 13:55:57 -  - exec CUpdateClient::GetHTTPPage
2017-09-13 13:55:59 -  - TIME GetUpdatesList(request) 2.797 sec
2017-09-13 13:55:59 -  - exec CUpdateClient::ParseServerData
2017-09-13 13:56:00 -  - exec CUpdateClient::executeCounters
2017-09-13 13:56:00 -  - exec CUpdateClient::CollectRequestData
2017-09-13 13:56:00 -  - LICENSE_KEY=X&lang=ru&SUPD_VER=17.0.7&VERSION=17.0.9&TYPENC=D&SUPD_STS=1&SUPD_URS=0&SUPD_DBS=MYSQL&XE=N&CLIENT_SITE=_&CHHB=192.168.2.201&CSAB=192.168.2.201&SUID=3bbb2897c7f19c831037717901eac009&CANGZIP=Y&CLIENT_PHPVER=7.0.22-0ubuntu0.16.04.1&stable=Y&NGINX=Y&rerere=Y&bitm_main=17.0.9&bitm_statistic=17.0.0&bitm_seo=17.0.6&bitm_calendar=17.5.1&bitm_storeassist=16.0.1&bitm_search=17.0.1&bitm_idea=17.5.0&bitm_highloadblock=17.0.2&bitm_mail=17.0.5&bitm_perfmon=17.0.0&bitm_socialservices=17.1.4&bitm_ldap=17.0.0&bitm_conversion=17.0.2&bitm_subscribe=17.0.0&bitm_compression=16.0.0&bitm_scale=17.0.0&bitm_report=16.5.1&bitm_learning=17.5.0&bitm_iblock=17.0.9&bitm_bizprocdesigner=17.0.2&bitm_blog=17.5.2&bitm_support=16.0.0&bitm_lists=17.0.6&bitm_forum=17.5.1&bitm_form=17.0.1&bitm_mobileapp=17.0.1&bitm_bitrixcloud=17.0.0&bitm_catalog=17.0.9&bitm_bizproc=17.5.1&bitm_currency=17.0.3&bitm_fileman=17.5.0&bitm_eshopapp=16.5.0&bitm_socialnetwork=17.5.5&bitm_im=17.1.4&bitm_translate=15.0.0&bitm_sale=17.0.24&bitm_cluster=17.0.0&bitm_pull=17.1.0&bitm_webservice=17.0.0&bitm_clouds=17.0.0&bitm_sender=17.1.2&bitm_abtest=17.0.0&bitm_security=17.0.1&bitm_workflow=17.0.0&bitm_photogallery=17.0.2&bitm_vote=17.5.0&bitm_wiki=16.0.3&bitm_b24connector=17.0.1&bitm_advertising=17.0.0&bitl_ru=&bitl_en=&SUPD_SRS=0&SUPD_CMP=N&SALE_15=Y&query_type=counter&cntr_result[143]=0&cntr_result[145]=1
2017-09-13 13:56:00 -  - exec CUpdateClient::GetHTTPPage
2017-09-13 13:56:02 -  - TIME executeCounters 2.535 sec
2017-09-13 14:03:49 - CRUPDCF1 - Run updater '/bitrix/updates/update_m1505300629/api.core/updater1.0.3.php': CopyFiles(install/js, js/api.core/)
2017-09-13 14:03:49 - CRUPDCF1 - Run updater '/bitrix/updates/update_m1505300629/api.core/updater1.0.3.php': CopyFiles(install/css, css/api.core/)
2017-09-13 14:03:55 - CRUPDCF1 - Run updater '/bitrix/updates/update_m1505300635/api.core/updater1.1.0.php': CopyFiles(install/js, js/api.core/)
2017-09-13 14:03:55 - CRUPDCF1 - Run updater '/bitrix/updates/update_m1505300635/api.core/updater1.1.0.php': CopyFiles(install/css, css/api.core/)
2017-09-13 14:04:01 - CRUPDCF1 - Run updater '/bitrix/updates/update_m1505300641/api.core/updater1.2.0.php': CopyFiles(install/js, js/api.core/)
2017-09-13 14:04:01 - CRUPDCF1 - Run updater '/bitrix/updates/update_m1505300641/api.core/updater1.2.0.php': CopyFiles(install/css, css/api.core/)
2017-09-13 14:04:06 - CRUPDCF1 - Run updater '/bitrix/updates/update_m1505300646/api.core/updater1.2.1.php': CopyFiles(install/js, js/api.core/)
2017-09-13 14:04:06 - CRUPDCF1 - Run updater '/bitrix/updates/update_m1505300646/api.core/updater1.2.1.php': CopyFiles(install/css, css/api.core/)
2017-09-13 14:04:12 - CRUPDCF1 - Run updater '/bitrix/updates/update_m1505300652/api.core/updater1.2.2.php': CopyFiles(install/js, js/api.core/)
2017-09-13 14:04:12 - CRUPDCF1 - Run updater '/bitrix/updates/update_m1505300652/api.core/updater1.2.2.php': CopyFiles(install/css, css/api.core/)
2017-09-13 14:04:17 - CRUPDCF1 - Run updater '/bitrix/updates/update_m1505300657/api.core/updater1.2.3.php': CopyFiles(install/js, js/api.core/)
2017-09-13 14:04:17 - CRUPDCF1 - Run updater '/bitrix/updates/update_m1505300657/api.core/updater1.2.3.php': CopyFiles(install/css, css/api.core/)
2017-09-13 14:04:23 - CRUPDCF1 - Run updater '/bitrix/updates/update_m1505300663/api.core/updater1.2.4.php': CopyFiles(install/js, js/api.core/)
2017-09-13 14:04:29 - CRUPDCF1 - Run updater '/bitrix/updates/update_m1505300669/api.core/updater1.2.5.php': CopyFiles(install/js, js/api.core/)
2017-09-13 14:04:29 - CRUPDCF1 - Run updater '/bitrix/updates/update_m1505300669/api.core/updater1.2.5.php': CopyFiles(install/css, css/api.core/)
2017-09-13 14:04:35 - CRUPDCF1 - Run updater '/bitrix/updates/update_m1505300675/api.core/updater1.2.6.php': CopyFiles(install/js, js/api.core/)
2017-09-13 14:04:35 - CRUPDCF1 - Run updater '/bitrix/updates/update_m1505300675/api.core/updater1.2.6.php': CopyFiles(install/css, css/api.core/)
2017-09-13 14:04:39 - CRUPDCF1 - Run updater '/bitrix/updates/update_m1505300679/api.core/updater1.2.7.php': CopyFiles(install/js, js/api.core/)
2017-09-13 14:04:39 - CRUPDCF1 - Run updater '/bitrix/updates/update_m1505300679/api.core/updater1.2.7.php': CopyFiles(install/css, css/api.core/)
2017-09-13 14:04:52 - CRUPDCF1 - Run updater '/bitrix/updates/update_m1505300692/api.core/updater1.3.0.php': CopyFiles(install/js, js/api.core/)
2017-09-13 14:05:02 - CRUPDCF1 - Run updater '/bitrix/updates/update_m1505300702/api.core/updater1.4.0.php': CopyFiles(install/js, js/api.core/)
2017-09-13 14:05:02 - CRUPDCF1 - Run updater '/bitrix/updates/update_m1505300702/api.core/updater1.4.0.php': CopyFiles(install/css, css/api.core/)
2017-09-13 14:05:08 - CRUPDCF1 - Run updater '/bitrix/updates/update_m1505300708/api.core/updater1.4.1.php': CopyFiles(install/css, css/api.core/)
2017-09-13 14:05:12 - CRUPDCF1 - Run updater '/bitrix/updates/update_m1505300712/api.core/updater1.4.2.php': CopyFiles(install/js, js/api.core/)
2017-09-13 14:05:18 - CRUPDCF1 - Run updater '/bitrix/updates/update_m1505300718/api.core/updater1.4.4.php': CopyFiles(install/js, js/api.core/)
